"X","long","lat","Áö¹øÁÖ¼Ò","cluster"
21728,127.0797591,37.58645462,"Áß¶û±¸",4
21729,127.0797591,37.58645462,"Áß¶û±¸",4
21730,127.0799289,37.57670032,"Áß¶û±¸",4
21731,127.0802782,37.57180759,"Áß¶û±¸",4
21732,127.0802782,37.57180759,"Áß¶û±¸",4
21733,127.0803799,37.57249694,"Áß¶û±¸",4
21734,127.0802946,37.57368265,"Áß¶û±¸",4
21735,127.0802493,37.57169105,"Áß¶û±¸",4
21736,127.0798812,37.57170778,"Áß¶û±¸",4
21737,127.0799036,37.57185607,"Áß¶û±¸",4
21738,127.0801886,37.57425912,"Áß¶û±¸",4
21739,127.0801886,37.57425912,"Áß¶û±¸",4
21740,127.079392,37.57485857,"Áß¶û±¸",4
21741,127.079392,37.57485857,"Áß¶û±¸",4
21742,127.0787697,37.57495172,"Áß¶û±¸",2
21743,127.0794875,37.57414817,"Áß¶û±¸",4
21744,127.0776408,37.58113344,"Áß¶û±¸",2
21745,127.077153,37.57834982,"Áß¶û±¸",2
21746,127.0772479,37.57752757,"Áß¶û±¸",2
21747,127.0781498,37.57975562,"Áß¶û±¸",2
21748,127.0773767,37.57628879,"Áß¶û±¸",2
21749,127.0775218,37.57480977,"Áß¶û±¸",2
21750,127.0768484,37.58216014,"Áß¶û±¸",2
21751,127.0780327,37.58085876,"Áß¶û±¸",2
21752,127.0776408,37.58113344,"Áß¶û±¸",2
21753,127.0775218,37.57480977,"Áß¶û±¸",2
21754,127.0794875,37.57414817,"Áß¶û±¸",4
21755,127.0794875,37.57414817,"Áß¶û±¸",4
21756,127.0786031,37.57632351,"Áß¶û±¸",2
21757,127.0786789,37.57569135,"Áß¶û±¸",2
21758,127.0786031,37.57632351,"Áß¶û±¸",2
21759,127.0782687,37.57879751,"Áß¶û±¸",2
21760,127.0763432,37.58100214,"Áß¶û±¸",2
21761,127.0766744,37.58047667,"Áß¶û±¸",2
21762,127.0768323,37.58014722,"Áß¶û±¸",2
21763,127.0770408,37.57930253,"Áß¶û±¸",2
21764,127.0770408,37.57930253,"Áß¶û±¸",2
21765,127.0786789,37.57569135,"Áß¶û±¸",2
21766,127.0768484,37.58216014,"Áß¶û±¸",2
21767,127.077923,37.5805423,"Áß¶û±¸",2
21768,127.0781093,37.5799964,"Áß¶û±¸",2
21769,127.0795571,37.57231963,"Áß¶û±¸",4
21770,127.0795571,37.57231963,"Áß¶û±¸",4
21771,127.080251,37.57406187,"Áß¶û±¸",4
21772,127.0791156,37.57644722,"Áß¶û±¸",4
21773,127.0791414,37.57642651,"Áß¶û±¸",4
21774,127.0789651,37.57290375,"Áß¶û±¸",2
21775,127.0788884,37.57394702,"Áß¶û±¸",2
21776,127.0788884,37.57394702,"Áß¶û±¸",2
21777,127.0789651,37.57290375,"Áß¶û±¸",2
21778,127.07901,37.57203764,"Áß¶û±¸",2
21779,127.0789176,37.57209317,"Áß¶û±¸",2
21780,127.0789176,37.57209317,"Áß¶û±¸",2
21781,127.0795293,37.57368141,"Áß¶û±¸",4
21782,127.0798872,37.5742446,"Áß¶û±¸",4
21783,127.0795745,37.57299002,"Áß¶û±¸",4
21784,127.0795745,37.57299002,"Áß¶û±¸",4
21785,127.0791927,37.57661091,"Áß¶û±¸",4
21786,127.0792328,37.57635972,"Áß¶û±¸",4
21787,127.0802197,37.5741608,"Áß¶û±¸",4
21788,127.0789501,37.57241863,"Áß¶û±¸",2
21789,127.0776625,37.57377174,"Áß¶û±¸",2
21790,127.0777318,37.5728654,"Áß¶û±¸",2
21791,127.0777318,37.5728654,"Áß¶û±¸",2
21792,127.0784602,37.57750076,"Áß¶û±¸",2
21793,127.0790748,37.5766377,"Áß¶û±¸",4
21794,127.0790748,37.5766377,"Áß¶û±¸",4
21795,127.0788003,37.57650384,"Áß¶û±¸",2
21796,127.0787986,37.57647968,"Áß¶û±¸",2
21797,127.0788061,37.57634093,"Áß¶û±¸",2
21798,127.0784602,37.57750076,"Áß¶û±¸",2
21799,127.0790748,37.5766377,"Áß¶û±¸",4
21800,127.0793211,37.57551585,"Áß¶û±¸",4
21801,127.0765572,37.61540355,"Áß¶û±¸",4
21802,127.0789042,37.60547793,"Áß¶û±¸",4
21803,127.0762468,37.61533197,"Áß¶û±¸",4
21804,127.0757311,37.61657537,"Áß¶û±¸",4
21805,127.0757311,37.61657537,"Áß¶û±¸",4
21806,127.0761754,37.61555889,"Áß¶û±¸",4
21807,127.0761754,37.61555889,"Áß¶û±¸",4
21808,127.0762041,37.61546576,"Áß¶û±¸",4
21809,127.075914,37.61640152,"Áß¶û±¸",4
21810,127.0732838,37.61483988,"Áß¶û±¸",2
21811,127.0767291,37.61382746,"Áß¶û±¸",4
21812,127.0766161,37.61419215,"Áß¶û±¸",4
21813,127.0767111,37.61388544,"Áß¶û±¸",4
21814,127.0766931,37.61394342,"Áß¶û±¸",4
21815,127.0766161,37.61419215,"Áß¶û±¸",4
21816,127.0767795,37.6142247,"Áß¶û±¸",4
21817,127.0769547,37.61313226,"Áß¶û±¸",4
21818,127.0769686,37.61309058,"Áß¶û±¸",4
21819,127.0769825,37.61304891,"Áß¶û±¸",4
21820,127.0773242,37.61197421,"Áß¶û±¸",4
21821,127.077269,37.61218109,"Áß¶û±¸",4
21822,127.077269,37.61218109,"Áß¶û±¸",4
21823,127.0772966,37.61207765,"Áß¶û±¸",4
21824,127.0774767,37.61122639,"Áß¶û±¸",4
21825,127.0775649,37.61075281,"Áß¶û±¸",4
21826,127.077695,37.61006141,"Áß¶û±¸",4
21827,127.0774632,37.61128802,"Áß¶û±¸",4
21828,127.0775515,37.6108224,"Áß¶û±¸",4
21829,127.0774699,37.61125721,"Áß¶û±¸",4
21830,127.0775582,37.61078761,"Áß¶û±¸",4
21831,127.0777191,37.60994328,"Áß¶û±¸",4
21832,127.0780195,37.60831371,"Áß¶û±¸",4
21833,127.077761,37.6097051,"Áß¶û±¸",4
21834,127.0780195,37.60831371,"Áß¶û±¸",4
21835,127.0780353,37.60824212,"Áß¶û±¸",4
21836,127.077761,37.6097051,"Áß¶û±¸",4
21837,127.0780195,37.60831371,"Áß¶û±¸",4
21838,127.0782065,37.60833405,"Áß¶û±¸",4
21839,127.0780512,37.60817053,"Áß¶û±¸",4
21840,127.0783413,37.60666478,"Áß¶û±¸",4
21841,127.0783092,37.60681893,"Áß¶û±¸",4
21842,127.078383,37.60645836,"Áß¶û±¸",4
21843,127.0783252,37.60674186,"Áß¶û±¸",4
21844,127.0783092,37.60681893,"Áß¶û±¸",4
21845,127.078383,37.60645836,"Áß¶û±¸",4
21846,127.0785734,37.60543646,"Áß¶û±¸",4
21847,127.076475,37.61566861,"Áß¶û±¸",4
21848,127.0781283,37.60955902,"Áß¶û±¸",4
21849,127.0783838,37.60821476,"Áß¶û±¸",4
21850,127.0787447,37.60634221,"Áß¶û±¸",4
21851,127.0765026,37.6155824,"Áß¶û±¸",4
21852,127.0904136,37.61752069,"Áß¶û±¸",3
21853,127.0904136,37.61752069,"Áß¶û±¸",3
21854,127.0757638,37.61649336,"Áß¶û±¸",4
21855,127.0757964,37.61641135,"Áß¶û±¸",4
21856,127.0757166,37.61684665,"Áß¶û±¸",4
