"","long","lat","id"
"1",127.014924223356,38.4659949659282,76
"2",127.068814440965,38.5484726632206,85
"3",127.065528608849,38.5348724554284,93
"4",127.038426343562,38.5147245683926,100
"5",127.032490919334,38.5111266933155,102
"6",127.028560725987,38.5078812510094,103
"7",127.02446919616,38.5046014727341,104
"8",127.021979415271,38.4997867811695,105
"9",127.018357128137,38.4947190216222,106
"10",127.009347180111,38.4908284584634,107
"11",127.001765704117,38.487219130526,108
"12",126.998319445246,38.4836474711529,109
"13",126.996523265235,38.4801594672946,110
"14",126.997305214267,38.4755091748987,111
"15",126.997715725568,38.4704732136139,112
"16",126.996170870082,38.4676240499146,113
"17",126.990255872792,38.4673326719631,114
"18",126.986355716803,38.4672232581583,115
"19",126.981983663833,38.4654870865295,116
"20",126.977645396726,38.4621522201187,117
"21",126.973452311542,38.4596161646459,118
"22",126.972160864297,38.4564522666034,119
"23",126.971356485495,38.4505114356309,120
"24",126.971886957593,38.4447340033849,121
"25",126.973839803906,38.4369628598871,122
"26",126.97019835953,38.4330288792747,123
"27",126.966204580521,38.4288991554495,124
"28",126.962727592779,38.4252848618722,125
"29",126.965702474255,38.4224546442326,126
"30",126.972526080281,38.4210561953176,128
"31",126.975810188257,38.4200306157963,129
"32",126.978087361978,38.4193192318314,130
"33",126.980889033651,38.4186835710292,131
"34",126.985189785722,38.4184652416475,132
"35",126.989346947513,38.4209886564143,133
"36",126.992155941883,38.4264537929644,134
"37",126.991094659363,38.431262656008,135
"38",126.99114687624,38.4258400947279,137
"39",126.99045876377,38.4235982155672,138
"40",126.990493355403,38.4218204235514,139
"41",126.989968827055,38.4214050005611,140
"42",126.989099552764,38.420980516002,141
"43",126.985011033538,38.4188941218354,142
"44",126.980565953489,38.4190448396487,143
"45",126.974283177923,38.4207574477897,145
"46",126.971535111509,38.4216353401152,146
"47",126.96738617718,38.4224857575577,147
"48",126.969865233334,38.4324755417513,148
"49",126.973688846075,38.436248284413,149
"50",126.972196474739,38.4442736426945,150
"51",126.971892176732,38.4519532495306,151
"52",126.978313994612,38.4619166468858,153
"53",126.981784230503,38.4638621656419,154
"54",126.985208555369,38.4668527816051,155
"55",126.988689202666,38.4669865286351,156
"56",126.991219772163,38.4670975720302,157
"57",126.996808116168,38.4673780814292,158
"58",127.001128907321,38.4675970784206,159
"59",127.007299372118,38.4660299253951,161
"60",127.003313236563,38.4644821035108,162
"61",127.00262683797,38.4668014215366,163
"62",127.002434363935,38.4689378226956,164
"63",127.002209803604,38.4715364577254,165
"64",127.002170907625,38.4738557562856,166
"65",127.00225775093,38.4754766687368,167
"66",127.002467322775,38.4790195086416,168
"67",127.001739069905,38.4855459738954,170
"68",127.008478091617,38.4902888009736,171
"69",127.01806121036,38.4942820527027,172
"70",127.022092657543,38.4988965226622,173
"71",127.023980564799,38.5041573610389,174
"72",127.027746189042,38.506953371023,175
"73",127.032642204916,38.5109094958277,176
"74",127.038729064793,38.5146532848416,178
"75",127.043650428914,38.5188269917206,179
"76",127.045910261405,38.5212913778082,180
"77",127.049317713601,38.5244400322635,181
"78",127.052077483294,38.5261292002808,182
"79",127.058229838922,38.5300115917308,183
"80",127.066386771317,38.5349575707044,185
"81",127.067797519072,38.5359010505798,186
"82",127.070105865617,38.5372881895262,187
"83",127.071699132041,38.5382441347779,188
"84",127.074567528476,38.5389092123977,189
"85",127.075234754932,38.5403377354403,190
"86",127.073430603602,38.54306271927,191
"87",127.07106776941,38.5483415634778,193
"88",127.068787336386,38.5489358082637,194
"89",127.066214322358,38.5470676390997,195
"90",127.065061993669,38.5452298495505,196
"91",127.069990492897,38.540177899026,197
"92",127.071404493829,38.538447946045,198
"93",127.01355081799,38.5617409520544,200
"94",127.036488528353,38.513172684962,101
"95",127.015742069337,38.4797484917296,297
"96",127.019441025518,38.4869090898134,298
"97",127.01744440008,38.4895813821881,299
"98",127.016909792966,38.492946880988,300
"99",127.029294572476,38.5586204848465,205
"100",127.026425575916,38.5394506748568,213
"101",127.034586627043,38.5002036242415,221
"102",127.012679144434,38.4730630710619,229
"103",126.968209880258,38.4691227531536,238
"104",126.996755209387,38.4714012725427,245
"105",127.035207279687,38.4891232656136,253
"106",127.024878652776,38.5315047333592,261
"107",127.035046343461,38.5591613243935,269
"108",127.013523724356,38.5630176049082,277
"109",127.011554286654,38.5061397384016,285
"110",127.021055059322,38.4833725754832,293
"111",127.016581119999,38.4945769183507,301
"112",127.015869658185,38.4970332679976,302
"113",127.014029128739,38.5014774634163,303
"114",127.014130839287,38.5032523658357,304
"115",127.011803116295,38.5061153879806,305
"116",127.010278398731,38.5090078908947,306
"117",127.009017863082,38.5161658872202,308
"118",127.007872300645,38.5177175623861,309
"119",127.00752461415,38.5183136875724,310
"120",127.006504061052,38.519912613343,311
"121",127.006641993246,38.5210920433468,312
"122",127.058116926342,38.5293926267196,313
"123",127.05983618102,38.5291214503369,314
"124",127.058870455508,38.5208170336265,316
"125",127.05733390253,38.5198176376272,317
"126",127.055909046503,38.5208229896647,318
"127",127.052318014547,38.5193190057426,319
"128",127.050280180028,38.5180305089138,320
"129",127.049168188968,38.5170821851654,321
"130",127.04937655046,38.5148574164135,322
"131",127.043590724313,38.5149245901388,324
"132",127.041005952748,38.5153445091335,325
"133",127.035762926844,38.5115474283848,326
"134",127.036124763961,38.5104282231963,327
"135",127.037047612262,38.5075941471922,328
"136",127.037678555141,38.5054930965142,329
"137",127.035627289867,38.50392192545,330
"138",127.030536339819,38.4800113323749,332
"139",127.030808894901,38.4768729454737,333
"140",127.030821244722,38.4735760031488,334
