"long","lat","order","piece","id","group"
127.046314378,37.552469631,1,"1","9013","9013.1"
127.045200815,37.552381771,2,"1","9013","9013.1"
126.902322238,37.556892181,1,"1","9014","9014.1"
126.901766466,37.55677779,2,"1","9014","9014.1"
127.054759601,37.565588873,1,"1","9015","9015.1"
127.054027717,37.566131526,2,"1","9015","9015.1"
127.080016969,37.558365714,1,"1","9016","9016.1"
127.079792398,37.557964615,2,"1","9016","9016.1"
127.078130992,37.554324673,1,"1","9017","9017.1"
127.078715942,37.555393059,2,"1","9017","9017.1"
127.095286022,37.540954992,1,"1","9018","9018.1"
127.094540714,37.540509518,2,"1","9018","9018.1"
126.950702856,37.530864555,1,"1","9019","9019.1"
126.950899516,37.530651227,2,"1","9019","9019.1"
127.086568032,37.537366358,1,"1","9020","9020.1"
127.086154396,37.537262332,2,"1","9020","9020.1"
127.078385036,37.532315019,1,"1","9021","9021.1"
127.079523685,37.531972647,2,"1","9021","9021.1"
126.908986743,37.557533532,1,"1","9022","9022.1"
126.90858923,37.557995033,2,"1","9022","9022.1"
126.901658023,37.556755206,1,"1","9023","9023.1"
126.90037437,37.556484038,2,"1","9023","9023.1"
126.972837047,37.541117863,1,"1","9024","9024.1"
126.973029391,37.540405358,2,"1","9024","9024.1"
127.069679417,37.560958259,1,"1","9025","9025.1"
127.068284835,37.561165152,2,"1","9025","9025.1"
127.054646854,37.565118773,1,"1","9026","9026.1"
127.055073903,37.564814964,2,"1","9026","9026.1"
127.078470722,37.56350951,1,"1","9027","9027.1"
127.079016268,37.563327065,2,"1","9027","9027.1"
127.077696668,37.515529416,1,"1","9028","9028.1"
127.077501349,37.516407139,2,"1","9028","9028.1"
127.077669267,37.516535361,3,"1","9028","9028.1"
127.079902777,37.516337053,4,"1","9028","9028.1"
127.087803844,37.516488317,1,"1","9029","9029.1"
127.088316865,37.516558163,2,"1","9029","9029.1"
127.089580878,37.516778944,3,"1","9029","9029.1"
127.090450675,37.516963864,4,"1","9029","9029.1"
127.097303259,37.516397427,1,"1","9030","9030.1"
127.097479363,37.516290724,2,"1","9030","9030.1"
127.098030139,37.515578932,3,"1","9030","9030.1"
127.079496326,37.507824427,1,"1","9031","9031.1"
127.079251334,37.508873771,2,"1","9031","9031.1"
127.0794386,37.509073805,3,"1","9031","9031.1"
127.088022844,37.504586526,1,"1","9032","9032.1"
127.08781861,37.504566798,2,"1","9032","9032.1"
127.087727712,37.504592515,3,"1","9032","9032.1"
127.084513215,37.505500789,1,"1","9033","9033.1"
127.083442922,37.505803816,2,"1","9033","9033.1"
127.08295943,37.505941733,3,"1","9033","9033.1"
127.095313163,37.502669278,1,"1","9034","9034.1"
127.094502134,37.502767355,2,"1","9034","9034.1"
127.093848702,37.502888082,3,"1","9034","9034.1"
127.09293535,37.503095032,4,"1","9034","9034.1"
127.092593042,37.503194146,5,"1","9034","9034.1"
126.939308351,37.484615203,1,"1","9035","9035.1"
126.938903039,37.484796146,2,"1","9035","9035.1"
127.056135694,37.478948588,1,"1","9036","9036.1"
127.055684073,37.479398099,2,"1","9036","9036.1"
127.055078089,37.480022693,3,"1","9036","9036.1"
127.054275708,37.480835287,4,"1","9036","9036.1"
127.054083733,37.481028022,5,"1","9036","9036.1"
126.900319675,37.556473054,1,"1","9037","9037.1"
126.900267781,37.5564618,2,"1","9037","9037.1"
126.90037437,37.556484038,1,"1","9038","9038.1"
126.900319675,37.556473054,2,"1","9038","9038.1"
127.000854474,37.551285461,1,"1","9039","9039.1"
127.000739403,37.551183132,2,"1","9039","9039.1"
127.001779637,37.540147385,1,"1","9040","9040.1"
127.001892509,37.540113131,2,"1","9040","9040.1"
126.970591213,37.520875195,1,"1","9041","9041.1"
126.970663541,37.520851868,2,"1","9041","9041.1"
127.087662009,37.560565316,1,"1","9042","9042.1"
127.087610707,37.560826063,2,"1","9042","9042.1"
127.078626404,37.537594953,1,"1","9043","9043.1"
127.07868622,37.537579158,2,"1","9043","9043.1"
127.063020075,37.561920953,1,"1","9044","9044.1"
127.062930532,37.561935297,2,"1","9044","9044.1"
127.056190059,37.550161882,1,"1","9045","9045.1"
127.055100072,37.550465804,2,"1","9045","9045.1"
126.910763863,37.558646082,1,"1","9046","9046.1"
126.90954177,37.55838859,2,"1","9046","9046.1"
127.061305665,37.531879247,1,"1","9047","9047.1"
127.06182071,37.531753712,2,"1","9047","9047.1"
127.112090246,37.552087403,1,"1","9048","9048.1"
127.112615526,37.553137782,2,"1","9048","9048.1"
127.069883174,37.529558656,1,"1","9049","9049.1"
127.071290387,37.529200029,2,"1","9049","9049.1"
127.077009058,37.557925447,1,"1","9050","9050.1"
127.078557385,37.557330915,2,"1","9050","9050.1"
127.061797471,37.5427076,1,"1","9051","9051.1"
127.063233927,37.542275434,2,"1","9051","9051.1"
127.047148548,37.551761748,1,"1","9052","9052.1"
127.046297055,37.551702473,2,"1","9052","9052.1"
127.079754189,37.557380513,1,"1","9053","9053.1"
127.079981176,37.55778887,2,"1","9053","9053.1"
127.0636761,37.646418066,1,"1","9054","9054.1"
127.063623185,37.646497494,2,"1","9054","9054.1"
127.060097417,37.654333756,1,"1","9055","9055.1"
127.060178965,37.654070565,2,"1","9055","9055.1"
127.066734595,37.667785375,1,"1","9056","9056.1"
127.066911617,37.667780838,2,"1","9056","9056.1"
127.069249984,37.662592422,1,"1","9057","9057.1"
127.069295604,37.662551515,2,"1","9057","9057.1"
127.068837928,37.650232451,1,"1","9058","9058.1"
127.068795313,37.650317867,2,"1","9058","9058.1"
127.036843954,37.626769147,1,"1","9059","9059.1"
127.036781675,37.626664664,2,"1","9059","9059.1"
127.032508987,37.610359322,1,"1","9060","9060.1"
127.032372199,37.610295072,2,"1","9060","9060.1"
126.892362414,37.577384378,1,"1","9061","9061.1"
126.892086973,37.577103628,2,"1","9061","9061.1"
127.024415702,37.641600728,1,"1","9062","9062.1"
127.024446127,37.641578405,2,"1","9062","9062.1"
127.090413627,37.617520694,1,"1","9063","9063.1"
127.090591163,37.617442036,2,"1","9063","9063.1"
127.067101678,37.664128296,1,"1","9064","9064.1"
127.067157666,37.664104715,2,"1","9064","9064.1"
127.038797794,37.46650109,1,"1","9065","9065.1"
127.038782879,37.46663279,2,"1","9065","9065.1"
127.038782346,37.466655311,3,"1","9065","9065.1"
127.038792151,37.466694721,4,"1","9065","9065.1"
127.038792707,37.466715077,5,"1","9065","9065.1"
127.038760939,37.466965669,6,"1","9065","9065.1"
127.038767727,37.467054348,7,"1","9065","9065.1"
127.107903313,37.511909434,1,"1","9066","9066.1"
127.106967412,37.511185844,2,"1","9066","9066.1"
127.105782753,37.51027,3,"1","9066","9066.1"
127.105039215,37.509689094,4,"1","9066","9066.1"
127.104235383,37.509063686,5,"1","9066","9066.1"
127.103985694,37.509088135,6,"1","9066","9066.1"
127.103008261,37.514470758,1,"1","9067","9067.1"
127.10283294,37.514376333,2,"1","9067","9067.1"
127.102183199,37.514173966,3,"1","9067","9067.1"
127.112192625,37.517612466,1,"1","9068","9068.1"
127.11207403,37.517531205,2,"1","9068","9068.1"
127.109012051,37.516479227,3,"1","9068","9068.1"
127.10510746,37.518793973,1,"1","9069","9069.1"
127.10485167,37.519407384,2,"1","9069","9069.1"
127.104669113,37.519807263,3,"1","9069","9069.1"
127.10467118,37.519869101,4,"1","9069","9069.1"
127.104692768,37.519953207,5,"1","9069","9069.1"
127.104850552,37.520382365,6,"1","9069","9069.1"
127.104910894,37.520554155,7,"1","9069","9069.1"
127.104935971,37.520674431,8,"1","9069","9069.1"
127.104945776,37.520795423,9,"1","9069","9069.1"
127.104944228,37.520925287,10,"1","9069","9069.1"
127.104935104,37.520974331,11,"1","9069","9069.1"
127.104390335,37.522183895,1,"1","9070","9070.1"
127.104320006,37.522807629,2,"1","9070","9070.1"
127.104457359,37.523007728,3,"1","9070","9070.1"
127.104713403,37.523008883,4,"1","9070","9070.1"
126.978352899,37.476506204,1,"1","9071","9071.1"
126.978900011,37.476513579,2,"1","9071","9071.1"
126.979030604,37.476481712,3,"1","9071","9071.1"
126.979909987,37.476471254,4,"1","9071","9071.1"
126.98777957,37.465859726,1,"1","9072","9072.1"
126.987844772,37.465691029,2,"1","9072","9072.1"
126.987901165,37.465519149,3,"1","9072","9072.1"
126.987983315,37.465163494,4,"1","9072","9072.1"
126.988017225,37.46489594,5,"1","9072","9072.1"
126.988041085,37.464244385,6,"1","9072","9072.1"
126.988000621,37.463809577,7,"1","9072","9072.1"
126.98792591,37.463476019,8,"1","9072","9072.1"
126.987751344,37.46275806,9,"1","9072","9072.1"
126.987595092,37.462029142,10,"1","9072","9072.1"
126.987311658,37.46082488,11,"1","9072","9072.1"
126.987267569,37.46057135,12,"1","9072","9072.1"
126.98725374,37.460275492,13,"1","9072","9072.1"
126.987254211,37.460019978,14,"1","9072","9072.1"
126.982333708,37.484457065,1,"1","9073","9073.1"
126.982389415,37.484953918,2,"1","9073","9073.1"
126.982485416,37.485194265,3,"1","9073","9073.1"
126.983627603,37.485769216,1,"1","9074","9074.1"
126.983697619,37.485990653,2,"1","9074","9074.1"
126.98384097,37.486248716,3,"1","9074","9074.1"
126.989646826,37.493843431,1,"1","9075","9075.1"
126.989965013,37.493363858,2,"1","9075","9075.1"
126.990275107,37.492862565,3,"1","9075","9075.1"
126.988873112,37.495564463,1,"1","9076","9076.1"
126.988591635,37.496003893,2,"1","9076","9076.1"
126.988318374,37.496450326,3,"1","9076","9076.1"
126.987980483,37.496984096,4,"1","9076","9076.1"
126.987371976,37.497938375,5,"1","9076","9076.1"
126.918211442,37.4894991,1,"1","9077","9077.1"
126.917381323,37.489330996,2,"1","9077","9077.1"
126.91704926,37.48924314,3,"1","9077","9077.1"
126.916780281,37.489139213,4,"1","9077","9077.1"
126.905107036,37.487716667,1,"1","9078","9078.1"
126.904973657,37.48755611,2,"1","9078","9078.1"
126.904607695,37.487106917,3,"1","9078","9078.1"
126.904485584,37.486955591,4,"1","9078","9078.1"
126.904445198,37.486905831,5,"1","9078","9078.1"
126.925061907,37.511310479,1,"1","9079","9079.1"
126.925136654,37.511506164,2,"1","9079","9079.1"
126.925305419,37.51192834,3,"1","9079","9079.1"
126.925305419,37.51192834,1,"1","9080","9080.1"
126.925380681,37.512130053,2,"1","9080","9080.1"
126.92548451,37.512249229,3,"1","9080","9080.1"
126.925575065,37.512332601,4,"1","9080","9080.1"
126.925575065,37.512332601,1,"1","9081","9081.1"
126.925716835,37.512417386,2,"1","9081","9081.1"
126.925811631,37.512454303,3,"1","9081","9081.1"
126.926226916,37.512550614,4,"1","9081","9081.1"
126.926600065,37.512627038,5,"1","9081","9081.1"
126.921333537,37.503063953,1,"1","9082","9082.1"
126.921038376,37.502371769,2,"1","9082","9082.1"
126.920905358,37.502017392,3,"1","9082","9082.1"
126.881119873,37.503731361,1,"1","9083","9083.1"
126.882213983,37.504522691,2,"1","9083","9083.1"
126.883165551,37.505223588,3,"1","9083","9083.1"
126.884110153,37.50591283,4,"1","9083","9083.1"
126.885074842,37.506604652,5,"1","9083","9083.1"
126.888734877,37.509532993,1,"1","9084","9084.1"
126.888379583,37.509345992,2,"1","9084","9084.1"
126.887759585,37.508918451,3,"1","9084","9084.1"
126.887311841,37.508588197,4,"1","9084","9084.1"
126.892302466,37.506844179,1,"1","9085","9085.1"
126.891380225,37.506361207,2,"1","9085","9085.1"
126.890324121,37.505801454,3,"1","9085","9085.1"
126.889074774,37.504900764,1,"1","9086","9086.1"
126.889951855,37.505356456,2,"1","9086","9086.1"
126.890117679,37.505315864,3,"1","9086","9086.1"
126.893700877,37.501328365,1,"1","9087","9087.1"
126.893700064,37.50145465,2,"1","9087","9087.1"
126.893719258,37.501995787,3,"1","9087","9087.1"
126.893793875,37.502478062,4,"1","9087","9087.1"
126.893815798,37.502624382,5,"1","9087","9087.1"
126.893861998,37.502679607,6,"1","9087","9087.1"
126.895294956,37.503418834,7,"1","9087","9087.1"
126.885989067,37.498376967,1,"1","9088","9088.1"
126.886345575,37.498009486,2,"1","9088","9088.1"
126.886580623,37.497710861,3,"1","9088","9088.1"
126.857042325,37.554491112,1,"1","9089","9089.1"
126.855841412,37.554915691,2,"1","9089","9089.1"
126.854938546,37.555221208,3,"1","9089","9089.1"
126.854711599,37.555298961,4,"1","9089","9089.1"
126.854660004,37.555960883,1,"1","9090","9090.1"
126.855220628,37.556510388,2,"1","9090","9090.1"
126.855406894,37.556688716,3,"1","9090","9090.1"
126.857276714,37.558511053,1,"1","9091","9091.1"
126.857765155,37.559006599,2,"1","9091","9091.1"
126.858098098,37.559327195,3,"1","9091","9091.1"
126.851381192,37.566763289,1,"1","9092","9092.1"
126.852057606,37.566190585,2,"1","9092","9092.1"
126.852274998,37.566012524,3,"1","9092","9092.1"
126.852450418,37.565886701,4,"1","9092","9092.1"
126.853039477,37.565481379,5,"1","9092","9092.1"
126.853445744,37.565213866,6,"1","9092","9092.1"
126.926259315,37.519116895,1,"1","9093","9093.1"
126.926335221,37.519102977,2,"1","9093","9093.1"
126.926392932,37.519058061,3,"1","9093","9093.1"
126.926501541,37.518945503,4,"1","9093","9093.1"
126.927143389,37.518294207,5,"1","9093","9093.1"
126.927377484,37.518052441,6,"1","9093","9093.1"
126.927160592,37.519887395,1,"1","9094","9094.1"
126.926858844,37.519694186,2,"1","9094","9094.1"
126.926708107,37.519620006,3,"1","9094","9094.1"
126.926573836,37.519590195,4,"1","9094","9094.1"
126.934196447,37.52085534,1,"1","9095","9095.1"
126.933114904,37.520155083,2,"1","9095","9095.1"
126.933010744,37.520134952,3,"1","9095","9095.1"
126.932924342,37.520137371,4,"1","9095","9095.1"
126.93286172,37.520162394,5,"1","9095","9095.1"
126.932802067,37.520214711,6,"1","9095","9095.1"
126.932310687,37.520714538,7,"1","9095","9095.1"
126.931962863,37.521077069,8,"1","9095","9095.1"
126.928452897,37.524072768,1,"1","9096","9096.1"
126.928522183,37.524063116,2,"1","9096","9096.1"
126.928612293,37.524014555,3,"1","9096","9096.1"
126.929440366,37.523166724,4,"1","9096","9096.1"
126.92686645,37.526384365,1,"1","9097","9097.1"
126.926628326,37.526641161,2,"1","9097","9097.1"
126.92662249,37.52670289,3,"1","9097","9097.1"
126.926653046,37.52675969,4,"1","9097","9097.1"
126.927508685,37.527293567,5,"1","9097","9097.1"
126.927925565,37.527558612,6,"1","9097","9097.1"
126.919781796,37.525422195,1,"1","9098","9098.1"
126.920230141,37.525696881,2,"1","9098","9098.1"
126.920364239,37.525585866,3,"1","9098","9098.1"
127.03804765,37.479320588,1,"1","9099","9099.1"
127.038131679,37.478998062,2,"1","9099","9099.1"
127.038279923,37.47878053,3,"1","9099","9099.1"
127.038369608,37.478279628,4,"1","9099","9099.1"
126.923038946,37.506390935,1,"1","9100","9100.1"
126.923350425,37.507169278,2,"1","9100","9100.1"
126.924018435,37.508734786,3,"1","9100","9100.1"
126.924116352,37.508937672,4,"1","9100","9100.1"
126.888862955,37.500332612,1,"1","9101","9101.1"
126.888591949,37.500177644,2,"1","9101","9101.1"
126.888461454,37.500191243,3,"1","9101","9101.1"
126.888418539,37.500240253,4,"1","9101","9101.1"
127.056303953,37.520776531,1,"1","9102","9102.1"
127.055641853,37.522008826,2,"1","9102","9102.1"
127.065498102,37.503886941,1,"1","9103","9103.1"
127.064926854,37.504990975,2,"1","9103","9103.1"
127.118452304,37.540600963,1,"1","9104","9104.1"
127.118483272,37.540661435,2,"1","9104","9104.1"
127.118535601,37.540713377,3,"1","9104","9104.1"
127.118585517,37.540741689,4,"1","9104","9104.1"
127.118657975,37.540758632,5,"1","9104","9104.1"
127.118735167,37.540765172,6,"1","9104","9104.1"
127.118814725,37.540766983,7,"1","9104","9104.1"
127.11889664,37.540756501,8,"1","9104","9104.1"
127.118967845,37.54073185,9,"1","9104","9104.1"
127.119055642,37.540686384,10,"1","9104","9104.1"
127.119766549,37.540290909,11,"1","9104","9104.1"
127.120360647,37.539954491,12,"1","9104","9104.1"
127.088480844,37.504409648,1,"1","9105","9105.1"
127.088429335,37.504589844,2,"1","9105","9105.1"
127.089096792,37.505366775,3,"1","9105","9105.1"
127.093350679,37.510133393,1,"1","9106","9106.1"
127.095378383,37.509991295,2,"1","9106","9106.1"
127.096618425,37.509910186,3,"1","9106","9106.1"
127.097189518,37.509866784,1,"1","9107","9107.1"
127.097362262,37.509680674,2,"1","9107","9107.1"
127.097286888,37.508565663,3,"1","9107","9107.1"
127.097286888,37.508565663,1,"1","9108","9108.1"
127.097160595,37.506874642,2,"1","9108","9108.1"
127.096989497,37.506743187,3,"1","9108","9108.1"
127.09280598,37.51023703,1,"1","9109","9109.1"
127.092697682,37.510085775,2,"1","9109","9109.1"
127.09205971,37.509323426,3,"1","9109","9109.1"
127.09205971,37.509323426,1,"1","9110","9110.1"
127.090829198,37.507905765,2,"1","9110","9110.1"
127.090552303,37.507708688,3,"1","9110","9110.1"
127.113343471,37.517751748,1,"1","9111","9111.1"
127.113319931,37.518021513,2,"1","9111","9111.1"
127.113553705,37.518427878,3,"1","9111","9111.1"
127.11463499,37.520176144,4,"1","9111","9111.1"
127.117250722,37.52555371,1,"1","9112","9112.1"
127.117296659,37.525420171,2,"1","9112","9112.1"
127.117253977,37.525342172,3,"1","9112","9112.1"
127.111742258,37.524809058,1,"1","9113","9113.1"
127.111399697,37.524808037,2,"1","9113","9113.1"
127.111341722,37.524912286,3,"1","9113","9113.1"
127.119463498,37.528141159,1,"1","9114","9114.1"
127.120036929,37.529108264,2,"1","9114","9114.1"
127.120282059,37.529525862,3,"1","9114","9114.1"
127.121035598,37.530684558,1,"1","9115","9115.1"
127.120924303,37.53070617,2,"1","9115","9115.1"
127.120888372,37.530750299,3,"1","9115","9115.1"
127.120882085,37.530792865,4,"1","9115","9115.1"
127.12734887,37.527749056,1,"1","9116","9116.1"
127.127950232,37.527472799,2,"1","9116","9116.1"
127.129316048,37.526844001,3,"1","9116","9116.1"
127.121171181,37.5058152,1,"1","9117","9117.1"
127.122451708,37.505295808,2,"1","9117","9117.1"
127.122553749,37.505233704,3,"1","9117","9117.1"
127.122647227,37.505160625,4,"1","9117","9117.1"
127.122694915,37.50510605,5,"1","9117","9117.1"
127.122731235,37.505069856,6,"1","9117","9117.1"
127.124811185,37.504488314,1,"1","9118","9118.1"
127.124669998,37.504706001,2,"1","9118","9118.1"
127.124607367,37.50482494,3,"1","9118","9118.1"
127.124548594,37.505022982,4,"1","9118","9118.1"
127.124518839,37.505197309,5,"1","9118","9118.1"
127.124510427,37.505294355,6,"1","9118","9118.1"
127.124504569,37.50533796,7,"1","9118","9118.1"
127.132551541,37.497320916,1,"1","9119","9119.1"
127.132110572,37.496957968,2,"1","9119","9119.1"
127.132045916,37.496863558,3,"1","9119","9119.1"
127.133627878,37.509830694,1,"1","9120","9120.1"
127.130684735,37.511039784,2,"1","9120","9120.1"
127.129093636,37.511702121,3,"1","9120","9120.1"
127.128928017,37.511825736,4,"1","9120","9120.1"
127.127244957,37.51156874,1,"1","9121","9121.1"
127.127292483,37.511412679,2,"1","9121","9121.1"
127.127300822,37.511325255,3,"1","9121","9121.1"
127.127289643,37.511219666,4,"1","9121","9121.1"
127.127264049,37.511125459,5,"1","9121","9121.1"
127.127242843,37.511068934,6,"1","9121","9121.1"
127.111201687,37.50897395,1,"1","9122","9122.1"
127.110922537,37.508561236,2,"1","9122","9122.1"
127.110480286,37.507999532,3,"1","9122","9122.1"
127.11046775,37.507985426,4,"1","9122","9122.1"
127.069596419,37.491338233,1,"1","9123","9123.1"
127.069963357,37.491576201,2,"1","9123","9123.1"
127.070263064,37.491812308,3,"1","9123","9123.1"
127.068849275,37.490904966,1,"1","9124","9124.1"
127.069262727,37.491140591,2,"1","9124","9124.1"
127.069402147,37.491221558,3,"1","9124","9124.1"
127.069596419,37.491338233,4,"1","9124","9124.1"
127.071871819,37.493997332,1,"1","9125","9125.1"
