관리일자,지사,노선코드,노선명,방향,차로,시점,종점,포장형태,표층재,교면구분,교량명,공사구분
1994,원주지사,0500,영동선,인천,1,119,120,아스팔트,일반아스팔트,교량부,지정교,확장
1994,원주지사,0500,영동선,인천,1,120,123,콘크리트,JCP,토공부,,확장
1994,원주지사,0500,영동선,인천,1,123,123,아스팔트,일반아스팔트,교량부,신평교,확장
20130725,경기광주지사,0350,통영대전선,중부선,하남,1,364,364,콘크리트,CRCP,토공부,,신설
1987,경기광주지사,0350,통영대전선,중부선,하남,1,364,365,콘크리트,CRCP,토공부,,신설
1997,원주지사,0500,영동선,인천,1,130,131,아스팔트,일반아스팔트,교량부,태장교,확장
20071010,울산지사,0010,경부선,부산,3,40,41,아스팔트,SMA,토공부,,확장
1994,원주지사,0500,영동선,인천,1,97,97,아스팔트,일반아스팔트,토공부,,확장
1994,원주지사,0500,영동선,인천,1,97,97,아스팔트,일반아스팔트,교량부,남한강교,확장
1999,원주지사,0500,영동선,인천,2,159,160,아스팔트,일반아스팔트,토공부,,확장
2005,울산지사,0160,울산선,언양,2,1,1,아스팔트,SMA,교량부,어음교,확장
20110613,원주지사,0500,영동선,인천,1,114,114,아스팔트,,토공부,,확장
20081008,원주지사,0500,영동선,인천,1,109,109,콘크리트,,토공부,,확장
20081008,원주지사,0500,영동선,인천,1,109,109,아스팔트,,토공부,,확장
20071205,천안지사,0010,경부선,부산,1,342,343,아스팔트,,토공부,,확장
20071107,울산지사,0010,경부선,부산,2,40,41,아스팔트,,토공부,,확장
1997,원주지사,0500,영동선,인천,2,143,143,아스팔트,일반아스팔트,토공부,,확장
1997,원주지사,0500,영동선,인천,2,143,143,아스팔트,일반아스팔트,교량부,우항1교,확장
1999,원주지사,0500,영동선,인천,2,143,144,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,144,144,아스팔트,일반아스팔트,교량부,우항2교,확장
1999,원주지사,0500,영동선,인천,2,144,144,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,144,144,아스팔트,일반아스팔트,교량부,오원1교,확장
1999,원주지사,0500,영동선,인천,2,144,144,아스팔트,일반아스팔트,토공부,,확장
1999,원주지사,0500,영동선,인천,2,144,144,아스팔트,일반아스팔트,교량부,오원2교,확장
1999,원주지사,0500,영동선,인천,2,144,145,아스팔트,일반아스팔트,토공부,,확장
20071026,군포지사,0500,영동선,인천,2,47,47,아스팔트,,토공부,,확장
2011,군포지사,0500,영동선,인천,2,51,52,콘크리트,JCP,토공부,,확장
1997,원주지사,0500,영동선,인천,2,135,135,아스팔트,일반아스팔트,교량부,평장1교,확장
