2015 05 05              0.66              0.66              7.08              6.96
2015 05 06              0.46              0.46              -999              4.92
2015 05 07              0.54              0.54              -999              5.76
2015 05 08              0.40              0.40              -999              4.31
2015 05 09              0.61              0.61              6.82              6.62
2015 05 10              0.61              0.61              6.88              6.80
2015 05 11              0.31              0.31              -999              3.39
2015 05 12              0.53              0.53              -999              5.78
2015 05 13              0.65              0.65              7.00              6.98
2015 05 14              0.53              0.53              -999              5.78
2015 05 15              0.43              0.43              -999              4.76
2015 05 16              0.66              0.66              7.31              7.25
2015 05 17              0.57              0.57              -999              6.28
2015 05 18              0.44              0.44              -999              4.92
2015 05 19              0.11              0.11              -999              1.28
2015 05 20              0.64              0.64              7.18              7.14
2015 05 21              0.64              0.64              7.23              7.11
2015 05 22              0.62              0.62              7.26              7.22
2015 05 23              0.61              0.61              7.21              7.08
2015 05 24              0.65              0.65              7.34              7.32
2015 05 25              0.61              0.61              7.27              7.14
2015 05 26              0.65              0.65              7.44              7.27
2015 05 27              0.65              0.65              7.48              7.44
2015 05 28              0.64              0.64              7.26              7.18
2015 05 29              0.51              0.51              -999              5.82
2015 05 30              0.16              0.16              -999              1.84
2015 05 31              0.61              0.61              -999              6.84
2015 06 01              0.45              0.45              -999              5.18
2015 06 02              0.57              0.57              -999              6.36
2015 06 03              0.64              0.64              7.14              7.13
2015 06 04              0.62              0.62              -999              6.99
2015 06 05              0.31              0.31              -999              3.49
2015 06 06              0.56              0.56              -999              6.61
2015 06 07              0.54              0.54              -999              6.19
2015 06 08              0.32              0.32              -999              3.72
2015 06 09              0.54              0.54              -999              6.32
2015 06 10              0.60              0.60              6.92              6.86
2015 06 11              0.25              0.25              -999              2.86
2015 06 12              0.53              0.53              6.85              6.23
2015 06 13              0.48              0.48              -999              5.51
2015 06 14              0.50              0.50              -999              5.80
2015 06 15              0.55              0.55              -999              6.38
2015 06 16              0.58              0.58              -999              6.64
2015 06 17              0.51              0.51              -999              5.82
2015 06 18              0.56              0.56              -999              6.37
2015 06 19              0.48              0.48              -999              5.54
2015 06 20              0.07              0.07              -999              0.81
2015 06 21              0.59              0.59              -999              6.84
2015 06 22              0.58              0.58              -999              6.71
2015 06 23              0.57              0.57              -999              6.74
2015 06 24              0.49              0.49              -999              5.70
2015 06 25              0.29              0.29              -999              3.34
2015 06 26              0.34              0.34              -999              3.90
2015 06 27              0.57              0.57              -999              6.63
2015 06 28              0.61              0.61              6.82              6.79
2015 06 29              0.51              0.51              -999              5.92
2015 06 30              0.36              0.36              -999              4.16
2015 07 01              0.59              0.59              7.10              6.94
2015 07 02              0.51              0.51              -999              5.82
2015 07 03              0.49              0.49              7.10              5.57
2015 07 04              0.61              0.61              7.08              6.98
2015 07 05              0.58              0.58              6.98              6.57
2015 07 06              0.62              0.62              7.03              6.94
2015 07 07              0.37              0.37              -999              4.29
2015 07 08              0.26              0.26              -999              2.93
