2009 02 26   10.82    1.20   -6.60    6.13   -4.69    0.00              0.68              0.68              -999              4.67
2009 02 27   10.75    1.39   -5.80    7.56   -3.19    0.86              0.69              0.69              -999              4.90
2009 02 28   10.98    2.36   -4.86    8.41   -2.56    2.06              0.73              0.73              5.02              4.99
2009 03 01   11.39    1.13   -5.97    7.54   -3.85    0.59              0.71              0.71              5.05              4.96
2009 03 02   10.34    1.78   -3.89    6.54   -3.79    1.67              0.52              0.52              -999              3.79
2009 03 03    7.06    1.45   -1.52    3.67   -3.39    0.78              0.35              0.35              -999              2.50
2009 03 04   11.71    1.94   -4.67    8.09   -3.61    1.47              0.70              0.70              5.14              4.99
2009 03 05    7.71    2.74    0.92    7.56   -0.15    2.80              0.18              0.18              -999              1.35
2009 03 06    7.30    0.68   -5.99    3.17   -4.13   -0.20              0.68              0.68              5.31              5.06
2009 03 07    9.78    1.12   -4.39    5.86   -3.92    0.63              0.71              0.71              5.33              5.26
2009 03 08    9.00    1.78   -2.09    7.67   -1.33    2.34              0.68              0.68              -999              5.26
2009 03 09   12.18    3.08   -0.06    9.16   -3.03    2.87              0.59              0.59              -999              4.49
2009 03 10   10.27    1.08   -6.84    6.79   -3.47    0.51              0.72              0.72              5.54              5.44
2009 03 11   12.12    1.68   -6.03    8.40   -3.72    1.96              0.67              0.67              -999              5.20
2009 03 12   11.32    4.00   -2.00   11.01   -0.32    4.59              0.40              0.40              -999              3.15
2009 03 13   10.08    0.96   -3.50    5.53   -4.55    0.85              0.43              0.43              -999              3.37
2009 03 14    9.20   -0.59   -8.12    3.75   -5.45   -1.25              0.73              0.73              5.78              5.76
2009 03 15   10.62    3.20    0.54    8.73   -1.89    3.36              0.42              0.42              -999              3.40
2009 03 16    8.30    4.82    3.19   10.53    2.23    5.06              0.50              0.50              -999              4.06
2009 03 17   12.22    6.50    3.86   12.83    0.61    6.46              0.68              0.68              -999              5.47
2009 03 18    8.66   11.05    9.92   16.11    7.45   11.35              0.42              0.42              -999              3.45
2009 03 19    9.90   10.00    8.55   14.12    4.22   10.01              0.25              0.25              -999              2.03
2009 03 20   16.02    7.80    1.26   15.92   -0.10    8.22              0.70              0.70              5.94              5.88
2009 03 21   14.14    9.80    5.96   17.06    2.91    9.83              0.68              0.68              5.89              5.81
2009 03 22   13.04    8.38    3.16   12.65   -0.40    8.21              0.60              0.60              5.90              5.03
2009 03 23   11.12    3.67   -4.44    8.80   -2.32    2.49              0.69              0.69              -999              5.82
2009 03 24    7.28    0.50   -6.85    3.37   -3.92   -0.29              0.38              0.38              -999              3.30
2009 03 25    9.45    1.56   -4.87    4.86   -4.58    0.77              0.69              0.69              -999              5.91
2009 03 26   10.34    3.84   -1.45    8.69   -1.64    3.54              0.48              0.48              -999              4.22
2009 03 27   10.79    2.74   -5.39    7.44   -3.35    1.66              0.72              0.72              6.37              6.30
2009 03 28   11.42    3.78   -5.80    8.24   -3.19    2.18              0.73              0.73              6.64              6.52
2009 03 29   12.38    5.19   -3.14   10.12   -2.26    3.90              0.69              0.69              -999              6.30
2009 03 30    7.68    4.83   -0.02    8.16    0.48    4.51              0.63              0.63              -999              5.58
2009 03 31    8.70    4.95   -1.10    8.88    0.18    4.29              0.64              0.64              6.53              5.81
