37.54751,127.14911,2010,1,1,0.57,0.57,-999,2.4
37.54751,127.14911,2010,1,2,0.35,0.35,-999,1.48
37.54751,127.14911,2010,1,3,0.66,0.66,2.93,2.86
37.54751,127.14911,2010,1,4,0.22,0.22,-999,0.94
37.54751,127.14911,2010,1,5,0.5,0.5,-999,2.18
37.54751,127.14911,2010,1,6,0.54,0.54,3.01,2.38
37.54751,127.14911,2010,1,7,0.55,0.55,3.03,2.42
37.54751,127.14911,2010,1,8,0.64,0.64,2.99,2.83
37.54751,127.14911,2010,1,9,0.4,0.4,-999,1.76
37.54751,127.14911,2010,1,10,0.51,0.51,-999,2.27
37.54751,127.14911,2010,1,11,0.42,0.42,-999,1.87
37.54751,127.14911,2010,1,12,0.62,0.62,3.15,2.75
37.54751,127.14911,2010,1,13,0.61,0.61,3.18,2.79
37.54751,127.14911,2010,1,14,0.58,0.58,3.13,2.73
37.54751,127.14911,2010,1,15,0.54,0.54,3.14,2.49
37.54751,127.14911,2010,1,16,0.65,0.65,3.22,3.03
37.54751,127.14911,2010,1,17,0.69,0.69,3.19,3.19
37.54751,127.14911,2010,1,18,0.29,0.29,-999,1.38
37.54751,127.14911,2010,1,19,0.58,0.58,-999,2.75
37.54751,127.14911,2010,1,20,0.18,0.18,-999,0.87
37.54751,127.14911,2010,1,21,0.65,0.65,3.35,3.15
37.54751,127.14911,2010,1,22,0.68,0.68,3.38,3.37
37.54751,127.14911,2010,1,23,0.72,0.72,3.44,3.44
37.54751,127.14911,2010,1,24,0.59,0.59,-999,2.93
37.54751,127.14911,2010,1,25,0.68,0.68,3.54,3.5
37.54751,127.14911,2010,1,26,0.68,0.68,3.54,3.52
37.54751,127.14911,2010,1,27,0.44,0.44,-999,2.23
37.54751,127.14911,2010,1,28,0.59,0.59,-999,3.06
37.54751,127.14911,2010,1,29,0.49,0.49,-999,2.59
37.54751,127.14911,2010,1,30,0.5,0.5,-999,2.64
37.54751,127.14911,2010,1,31,0.36,0.36,-999,1.94
37.54751,127.14911,2010,2,1,0.6,0.6,-999,3.22
37.54751,127.14911,2010,2,2,0.7,0.7,3.84,3.83
37.54751,127.14911,2010,2,3,0.72,0.72,3.93,3.91
37.54751,127.14911,2010,2,4,0.69,0.69,3.91,3.85
37.54751,127.14911,2010,2,5,0.69,0.69,3.96,3.93
37.54751,127.14911,2010,2,6,0.73,0.73,4.06,4.06
37.54751,127.14911,2010,2,7,0.64,0.64,-999,3.72
37.54751,127.14911,2010,2,8,0.2,0.2,-999,1.14
37.54751,127.14911,2010,2,9,0.16,0.16,-999,0.93
37.54751,127.14911,2010,2,10,0.18,0.18,-999,1.08
37.54751,127.14911,2010,2,11,0.26,0.26,-999,1.54
37.54751,127.14911,2010,2,12,0.43,0.43,-999,2.53
