"loc","long","lat","year","month","cki_1","sii_1","si_1","ckii_1","cki_2","sii_2","si_2","ckii_2","cki_3","sii_3","si_3","ckii_3","cki_4","sii_4","si_4","ckii_4","cki_5","sii_5","si_5","ckii_5","cki_6","sii_6","si_6","ckii_6","cki_7","sii_7","si_7","ckii_7","cki_8","sii_8","si_8","ckii_8","cki_9","sii_9","si_9","ckii_9","cki_10","sii_10","si_10","ckii_10","cki_11","sii_11","si_11","ckii_11","cki_12","sii_12","si_12","ckii_12"
"강남구","127.065334","37.493712","2010","01",0.525,0.525,4.16784595537467,2.455,0.595,0.595,4.18284595537467,2.82,0.57,0.57,4.21284595537467,2.655,0.605,0.605,4.06784595537466,2.84,0.62,0.62,3.90189730358311,2.89666666666667,0.536666666666667,0.536666666666667,3.88523063691644,2.57666666666667,0.546666666666667,0.546666666666667,3.68523063691644,2.52666666666667,0.486666666666667,0.486666666666667,4.39712794049955,2.34333333333333,0.56,0.56,4.38712794049955,2.65333333333333,0.443333333333333,0.443333333333333,4.32712794049955,2.13333333333333,0.496666666666667,0.496666666666667,4.33379460716622,2.37,0.41,0.41,3.98784595537467,1.85
"강남구","127.065334","37.493712","2010","02",0.546666666666667,0.546666666666667,4.50856397024978,3.33,0.623333333333333,0.623333333333333,4.41189730358311,3.77666666666667,0.6,0.6,4.62712794049955,3.7,0.56,0.56,4.47284595537467,3.3,0.67,0.67,4.52284595537466,3.96,0.645,0.645,4.75284595537467,3.905,0.435,0.435,4.75284595537467,2.775,0.41,0.41,4.98569191074933,2.595,0.35,0.35,4.98569191074933,2.26,0.475,0.475,4.82284595537467,3.1,0.49,0.49,4.78784595537467,3.12,0.386666666666667,0.386666666666667,4.98569191074933,2.24333333333333
"강남구","127.065334","37.493712","2010","03",0.255,0.255,4.98569191074933,2.05,0.54,0.54,4.98569191074933,4.39,0.445,0.445,4.98569191074933,3.69,0.406666666666667,0.406666666666667,5.18712794049955,3.21666666666667,0.416666666666667,0.416666666666667,5.43046127383289,3.4,0.366666666666667,0.366666666666667,5.02046127383289,2.76666666666667,0.52,0.52,5.73856397024978,4.39666666666667,0.503333333333333,0.503333333333333,5.45379460716622,4.18333333333333,0.57,0.57,5.33712794049955,4.71333333333333,0.396666666666667,0.396666666666667,5.22046127383289,3.17666666666667,0.295,0.295,4.98569191074933,2.31,0.55,0.55,5.52284595537466,4.38
"강남구","127.065334","37.493712","2010","04",0.603333333333333,0.603333333333333,6.31856397024978,5.76,0.486666666666667,0.486666666666667,5.53712794049955,4.66666666666667,0.633333333333333,0.633333333333333,5.50379460716622,6.22333333333333,0.41,0.41,4.98569191074933,4.12,0.5,0.5,5.91284595537467,4.86,0.62,0.62,5.91784595537466,6.025,0.485,0.485,5.92284595537467,4.805,0.23,0.23,4.98569191074933,2.265,0.45,0.45,4.98569191074933,4.445,0.555,0.555,4.98569191074933,5.59,0.483333333333333,0.483333333333333,5.79379460716622,4.77333333333333,0.506666666666667,0.506666666666667,5.55379460716622,4.83333333333333
"강남구","127.065334","37.493712","2010","05",0.67,0.67,6.49284595537467,7.45,0.465,0.465,4.98569191074933,5.1,0.235,0.235,4.98569191074933,2.625,0.415,0.415,4.98569191074933,4.53,0.51,0.51,5.84379460716622,5.51,0.646666666666667,0.646666666666667,6.82523063691644,7.08666666666667,0.513333333333333,0.513333333333333,5.99379460716622,5.66,0.503333333333333,0.503333333333333,5.98046127383289,5.6,0.566666666666667,0.566666666666667,5.90712794049955,6.31333333333333,0.37,0.37,5.97046127383289,4.21333333333333,0.59,0.59,5.91712794049955,6.57,0.71,0.71,7.845,7.78
"강남구","127.065334","37.493712","2010","06",0.423333333333333,0.423333333333333,6.03379460716622,4.92666666666667,0.48,0.48,6.01046127383289,5.54,0.596666666666667,0.596666666666667,6.01046127383289,6.82333333333333,0.516666666666667,0.516666666666667,4.98569191074933,5.91,0.49,0.49,4.98569191074933,5.64333333333333,0.5,0.5,6.49784595537466,5.805,0.57,0.57,6.54284595537466,6.725,0.625,0.625,6.53784595537467,7.225,0.435,0.435,4.98569191074933,5.03,0.59,0.59,6.59284595537467,6.99,0.445,0.445,6.56784595537466,5.16,0.626666666666667,0.626666666666667,6.08712794049955,7.19
"강남구","127.065334","37.493712","2010","07",0.485,0.485,4.98569191074933,5.505,0.455,0.455,4.98569191074933,5.14,0.355,0.355,4.98569191074933,4.08,0.165,0.165,4.98569191074933,1.89,0.465,0.465,4.98569191074933,5.215,0.53,0.53,4.98569191074933,6.03666666666667,0.346666666666667,0.346666666666667,4.98569191074933,3.94,0.436666666666667,0.436666666666667,4.98569191074933,4.94,0.336666666666667,0.336666666666667,4.98569191074933,3.84,0.376666666666667,0.376666666666667,4.98569191074933,4.28,0.413333333333333,0.413333333333333,4.98569191074933,4.72666666666667,0.44,0.44,4.98569191074933,4.92666666666667
"강남구","127.065334","37.493712","2010","08",0.3,0.3,4.98569191074933,3.14666666666667,0.283333333333333,0.283333333333333,4.98569191074933,2.91,0.43,0.43,4.98569191074933,4.43666666666667,0.3,0.3,4.98569191074933,3.08333333333333,0.39,0.39,5.65046127383289,4.08333333333333,0.46,0.46,4.98569191074933,4.61666666666667,0.363333333333333,0.363333333333333,4.98569191074933,3.68666666666667,0.56,0.56,4.98569191074933,5.77,0.615,0.615,4.98569191074933,6.29,0.42,0.42,4.98569191074933,4.285,0.3,0.3,4.98569191074933,3.11,0.22,0.22,4.98569191074933,2.21
"강남구","127.065334","37.493712","2010","09",0.573333333333333,0.573333333333333,5.39189730358311,4.76333333333333,0.37,0.37,5.50284595537467,3.39,0.335,0.335,4.98569191074933,2.915,0.155,0.155,4.98569191074933,1.38,0.27,0.27,4.98569191074933,2.31,0.465,0.465,4.98569191074933,3.87,0.465,0.465,4.98569191074933,3.93,0.56,0.56,4.98569191074933,4.9,0.516666666666667,0.516666666666667,5.28712794049955,4.44,0.52,0.52,5.31046127383289,4.55333333333333,0.643333333333333,0.643333333333333,5.46856397024978,5.53,0.496666666666667,0.496666666666667,4.98569191074933,4.24
"강남구","127.065334","37.493712","2010","10",0.48,0.48,4.56284595537466,3.145,0.49,0.49,4.72712794049955,3.43333333333333,0.486666666666667,0.486666666666667,4.78712794049955,3.25666666666667,0.51,0.51,4.90379460716622,3.49333333333333,0.53,0.53,4.59523063691644,3.46,0.623333333333333,0.623333333333333,4.54856397024978,4.11333333333333,0.646666666666667,0.646666666666667,4.51189730358311,4.34,0.566666666666667,0.566666666666667,4.78189730358311,3.81333333333333,0.52,0.52,4.98569191074933,3.57,0.625,0.625,4.66284595537467,4.225,0.665,0.665,4.585,4.435,0.44,0.44,4.98569191074933,2.89
