"","X","long","lat","지번주소","cluster"
"117",117,127.0672731,37.48608444,"강남구",3
"118",118,127.0674327,37.48598945,"강남구",3
"119",119,127.0666364,37.48737415,"강남구",3
"120",120,127.0664452,37.48796977,"강남구",3
"121",121,127.0664452,37.48796977,"강남구",3
"122",122,127.0728868,37.49416268,"강남구",3
"123",123,127.0727645,37.4941423,"강남구",3
"124",124,127.0614923,37.48181411,"강남구",2
"125",125,127.0614923,37.48181411,"강남구",2
"126",126,127.0573846,37.48553658,"강남구",2
"127",127,127.0582539,37.48470604,"강남구",2
"128",128,127.0578422,37.48484554,"강남구",2
"129",129,127.0581144,37.48459774,"강남구",2
"130",130,127.0582539,37.48470604,"강남구",2
"131",131,127.057971,37.48472827,"강남구",2
"132",132,127.0579077,37.48510583,"강남구",2
"133",133,127.0580951,37.48488943,"강남구",2
"134",134,127.0572108,37.48582149,"강남구",2
"135",135,127.0565655,37.48695074,"강남구",2
"136",136,127.0565655,37.48695074,"강남구",2
"137",137,127.0565655,37.48695074,"강남구",2
"138",138,127.0567413,37.48654769,"강남구",2
"139",139,127.0569722,37.48652304,"강남구",2
"140",140,127.0595245,37.48344323,"강남구",2
"141",141,127.0595245,37.48344323,"강남구",2
"142",142,127.0595245,37.48344323,"강남구",2
"143",143,127.0633625,37.48028716,"강남구",2
"144",144,127.0643779,37.47944742,"강남구",2
"145",145,127.0632519,37.4803789,"강남구",2
"146",146,127.0633625,37.48028716,"강남구",2
"147",147,127.0627074,37.48082269,"강남구",2
"148",148,127.0539497,37.48119985,"강남구",2
"149",149,127.0538318,37.48135097,"강남구",2
"150",150,127.0584676,37.47552335,"강남구",2
"151",151,127.0583131,37.47573043,"강남구",2
"152",152,127.0571301,37.47488528,"강남구",2
"153",153,127.0659747,37.4896606,"강남구",3
"154",154,127.0660056,37.48957881,"강남구",3
"155",155,127.0660056,37.48957881,"강남구",3
"156",156,127.0664373,37.48967281,"강남구",3
"157",157,127.0660476,37.48966725,"강남구",3
"158",158,127.0659747,37.4896606,"강남구",3
"159",159,127.0669597,37.49000269,"강남구",3
"160",160,127.0665763,37.49002739,"강남구",3
"161",161,127.0659084,37.48992132,"강남구",3
"162",162,127.066023,37.4898941,"강남구",3
"163",163,127.0660733,37.48988796,"강남구",3
"164",164,127.0665763,37.49002739,"강남구",3
"165",165,127.0681758,37.49052577,"강남구",3
"166",166,127.0673009,37.49021104,"강남구",3
"167",167,127.0677237,37.49032669,"강남구",3
"168",168,127.0673009,37.49021104,"강남구",3
"169",169,127.0695964,37.49133823,"강남구",3
"170",170,127.0688493,37.49090497,"강남구",3
"171",171,127.0694021,37.49122156,"강남구",3
"172",172,127.0688493,37.49090497,"강남구",3
"173",173,127.0721252,37.49306623,"강남구",3
"174",174,127.0721267,37.4931697,"강남구",3
"175",175,127.0717366,37.49270914,"강남구",3
"176",176,127.0715779,37.49265842,"강남구",3
"177",177,127.0721267,37.4931697,"강남구",3
"178",178,127.0713676,37.49283047,"강남구",3
"179",179,127.0721252,37.49306623,"강남구",3
"180",180,127.0717366,37.49270914,"강남구",3
"181",181,127.0721267,37.4931697,"강남구",3
"182",182,127.0721252,37.49306623,"강남구",3
"183",183,127.0714354,37.49288173,"강남구",3
"184",184,127.0719989,37.4934101,"강남구",3
"185",185,127.071446,37.49241754,"강남구",3
"186",186,127.0714269,37.49241462,"강남구",3
"187",187,127.071416,37.49242718,"강남구",3
"188",188,127.0702631,37.49181231,"강남구",3
"189",189,127.0708954,37.49238674,"강남구",3
"190",190,127.0702631,37.49181231,"강남구",3
"191",191,127.0708954,37.49238674,"강남구",3
"192",192,127.057709,37.48793596,"강남구",2
"193",193,127.057709,37.48793596,"강남구",2
"194",194,127.0607348,37.48889738,"강남구",2
"195",195,127.0605041,37.48885385,"강남구",2
"196",196,127.0584406,37.48832243,"강남구",2
"197",197,127.0584406,37.48832243,"강남구",2
"198",198,127.0588026,37.48849134,"강남구",2
"199",199,127.0595394,37.48866841,"강남구",2
"200",200,127.0617924,37.48909684,"강남구",3
"201",201,127.0617924,37.48909684,"강남구",3
"202",202,127.062913,37.48930551,"강남구",3
"203",203,127.0656466,37.48951506,"강남구",3
"204",204,127.0651483,37.48944931,"강남구",3
"205",205,127.0654473,37.48984784,"강남구",3
"206",206,127.0656466,37.48951506,"강남구",3
"207",207,127.0656466,37.48951506,"강남구",3
"208",208,127.0656645,37.48988772,"강남구",3
"209",209,127.0648314,37.48966743,"강남구",3
"210",210,127.0648314,37.48966743,"강남구",3
"211",211,127.0637224,37.48945798,"강남구",3
"212",212,127.0637224,37.48945798,"강남구",3
"213",213,127.0561737,37.4871092,"강남구",2
"214",214,127.0561302,37.48677731,"강남구",2
"215",215,127.0561269,37.4867922,"강남구",2
"216",216,127.0561487,37.48681727,"강남구",2
"217",217,127.055285,37.48660901,"강남구",2
"218",218,127.056109,37.48707527,"강남구",2
"219",219,127.0526154,37.48504455,"강남구",2
"220",220,127.0542489,37.48600329,"강남구",2
"221",221,127.0520825,37.48472283,"강남구",2
"222",222,127.0526154,37.48504455,"강남구",2
"223",223,127.051966,37.48482849,"강남구",2
"224",224,127.0520286,37.48458975,"강남구",2
