"X","long","lat","Áö¹øÁÖ¼Ò","cluster"
10350,127.0482677,37.66941178,"µµºÀ±¸",4
10351,127.0482644,37.67004111,"µµºÀ±¸",4
10352,127.0482664,37.66943672,"µµºÀ±¸",4
10353,127.049371,37.68815082,"µµºÀ±¸",4
10354,127.0509101,37.68561697,"µµºÀ±¸",4
10355,127.0494259,37.68815126,"µµºÀ±¸",4
10356,127.0494511,37.68813735,"µµºÀ±¸",4
10357,127.04954,37.68804193,"µµºÀ±¸",4
10358,127.0495996,37.6880085,"µµºÀ±¸",4
10359,127.0512371,37.68568786,"µµºÀ±¸",4
10360,127.0508893,37.68612945,"µµºÀ±¸",4
10361,127.0496741,37.6879702,"µµºÀ±¸",4
10362,127.0497408,37.68784382,"µµºÀ±¸",4
10363,127.0498731,37.68766618,"µµºÀ±¸",4
10364,127.0496431,37.68848005,"µµºÀ±¸",4
10365,127.049978,37.68754322,"µµºÀ±¸",4
10366,127.0508893,37.68612945,"µµºÀ±¸",4
10367,127.0512371,37.68568786,"µµºÀ±¸",4
10368,127.049685,37.69057792,"µµºÀ±¸",4
10369,127.0495973,37.69028547,"µµºÀ±¸",4
10370,127.0495907,37.68980241,"µµºÀ±¸",4
10371,127.0497332,37.69098597,"µµºÀ±¸",4
10372,127.049737,37.69081372,"µµºÀ±¸",4
10373,127.0497262,37.69074636,"µµºÀ±¸",4
10374,127.0496009,37.68935213,"µµºÀ±¸",4
10375,127.0492528,37.68811667,"µµºÀ±¸",4
10376,127.0384094,37.67865295,"µµºÀ±¸",4
10377,127.0388196,37.67871553,"µµºÀ±¸",4
10378,127.0389496,37.67871835,"µµºÀ±¸",4
10379,127.0391767,37.67869986,"µµºÀ±¸",4
10380,127.0370231,37.67841048,"µµºÀ±¸",4
10381,127.0372675,37.67845846,"µµºÀ±¸",4
10382,127.0376516,37.67843595,"µµºÀ±¸",4
10383,127.0381415,37.67852411,"µµºÀ±¸",4
10384,127.038428,37.67855992,"µµºÀ±¸",4
10385,127.0387851,37.67857923,"µµºÀ±¸",4
10386,127.0394632,37.67853367,"µµºÀ±¸",4
10387,127.0396628,37.67849818,"µµºÀ±¸",4
10388,127.0398952,37.6784405,"µµºÀ±¸",4
10389,127.0399616,37.67843557,"µµºÀ±¸",4
10390,127.0403253,37.67843915,"µµºÀ±¸",4
10391,127.0375878,37.67852108,"µµºÀ±¸",4
10392,127.0398977,37.67858612,"µµºÀ±¸",4
10393,127.0400558,37.67856805,"µµºÀ±¸",4
10394,127.0401245,37.67856832,"µµºÀ±¸",4
10395,127.0400373,37.67859369,"µµºÀ±¸",4
10396,127.0403616,37.67839026,"µµºÀ±¸",4
10397,127.0344719,37.67737173,"µµºÀ±¸",4
10398,127.0341958,37.67738589,"µµºÀ±¸",4
10399,127.0342666,37.67727437,"µµºÀ±¸",4
10400,127.0363536,37.67799508,"µµºÀ±¸",4
10401,127.0368577,37.67824103,"µµºÀ±¸",4
